BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			4, 0.209, 27.847, 256.100, 0.179, 0.010
			4, 0.206, 27.303, 256.300, 0.175, 0.010
			4, 0.204, 26.778, 256.500, 0.172, 0.010
			4, 0.201, 26.218, 256.700, 0.169, 0.010
			4, 0.198, 25.651, 256.900, 0.165, 0.009
			4, 0.196, 25.051, 257.100, 0.161, 0.009
			4, 0.193, 24.601, 257.300, 0.158, 0.009
			4, 0.191, 24.079, 257.500, 0.155, 0.009
			4, 0.188, 23.599, 257.700, 0.152, 0.009
			4, 0.186, 23.098, 257.900, 0.148, 0.009
			4, 0.183, 22.633, 258.100, 0.145, 0.009
			4, 0.180, 21.971, 258.300, 0.141, 0.009
			4, 0.177, 21.479, 258.500, 0.138, 0.008
			4, 0.175, 21.051, 258.700, 0.135, 0.008
			4, 0.172, 20.572, 258.900, 0.132, 0.008
			4, 0.170, 20.056, 259.100, 0.129, 0.008
			4, 0.167, 19.665, 259.300, 0.126, 0.008
			4, 0.165, 19.134, 259.500, 0.123, 0.008
			4, 0.161, 18.578, 259.700, 0.119, 0.008
			4, 0.159, 18.129, 259.900, 0.117, 0.008
			4, 0.156, 17.729, 260.100, 0.114, 0.007
			4, 0.154, 17.284, 260.300, 0.111, 0.007
			4, 0.151, 16.863, 260.500, 0.108, 0.007
			4, 0.149, 16.437, 260.700, 0.106, 0.007
			4, 0.146, 15.972, 260.900, 0.103, 0.007
			4, 0.143, 15.523, 261.100, 0.100, 0.007
			4, 0.141, 15.144, 261.300, 0.097, 0.007
			4, 0.138, 14.715, 261.500, 0.095, 0.007
			4, 0.136, 14.350, 261.700, 0.092, 0.006
			4, 0.133, 13.957, 261.900, 0.090, 0.006
			4, 0.131, 13.609, 262.100, 0.087, 0.006
			4, 0.128, 13.145, 262.300, 0.084, 0.006
			4, 0.125, 12.714, 262.500, 0.082, 0.006
			4, 0.123, 12.406, 262.700, 0.080, 0.006
			4, 0.120, 12.064, 262.900, 0.078, 0.006
			4, 0.118, 11.734, 263.100, 0.075, 0.006
			4, 0.115, 11.467, 263.300, 0.074, 0.005
			4, 0.113, 11.079, 263.500, 0.071, 0.005
			4, 0.110, 10.655, 263.700, 0.068, 0.005
			4, 0.106, 10.334, 263.900, 0.066, 0.005
			4, 0.104, 10.043, 264.100, 0.065, 0.005
			4, 0.101, 9.725, 264.300, 0.063, 0.005
			4, 0.099, 9.449, 264.500, 0.061, 0.005
			4, 0.096, 9.114, 264.700, 0.059, 0.005
			4, 0.094, 8.771, 264.900, 0.056, 0.004
			4, 0.091, 8.413, 265.100, 0.054, 0.004
			4, 0.088, 8.132, 265.300, 0.052, 0.004
			4, 0.085, 7.868, 265.500, 0.051, 0.004
			4, 0.083, 7.600, 265.700, 0.049, 0.004
			4, 0.080, 7.339, 265.900, 0.047, 0.004
			4, 0.078, 7.045, 266.100, 0.045, 0.004
			4, 0.075, 6.759, 266.300, 0.043, 0.004
			4, 0.072, 6.441, 266.500, 0.041, 0.003
			4, 0.070, 6.200, 266.700, 0.040, 0.003
			4, 0.067, 5.974, 266.900, 0.038, 0.003
			4, 0.065, 5.735, 267.100, 0.037, 0.003
			4, 0.062, 5.497, 267.300, 0.035, 0.003
			4, 0.059, 5.255, 267.500, 0.034, 0.003
			4, 0.056, 4.913, 267.700, 0.032, 0.003
			4, 0.053, 4.783, 267.900, 0.031, 0.003
			4, 0.051, 4.508, 268.100, 0.029, 0.002
			4, 0.048, 4.383, 268.300, 0.028, 0.002
			4, 0.046, 4.164, 268.500, 0.027, 0.002
			4, 0.043, 4.045, 268.700, 0.026, 0.002
			4, 0.041, 3.766, 268.900, 0.024, 0.002
			4, 0.038, 3.589, 269.100, 0.023, 0.002
			4, 0.035, 3.524, 269.300, 0.023, 0.002
			4, 0.033, 3.271, 269.500, 0.021, 0.002
			4, 0.030, 3.121, 269.700, 0.020, 0.001
			4, 0.027, 2.974, 269.900, 0.019, 0.001
			4, 0.025, 2.975, 270.100, 0.019, 0.001
			4, 0.022, 2.859, 270.300, 0.018, 0.001
			4, 0.019, 2.818, 270.500, 0.018, 0.001
			4, 0.016, 2.686, 270.700, 0.017, 0.001
			4, 0.014, 2.569, 270.900, 0.017, 0.001
			4, 0.011, 2.363, 271.100, 0.015, 0.001
			4, 0.009, 2.484, 271.300, 0.016, 0.000
			4, 0.006, 2.279, 271.500, 0.015, 0.000
			4, 0.003, 2.092, 271.700, 0.013, 0.000
			4, 0.000, 2.124, 271.900, 0.014, 0.000
			4, -0.000, 2.207, 271.960, 0.014, -0.000
			5, -0.000, 2.109, 271.990, 0.014, -0.000
			5, -0.001, 2.260, 272.080, 0.015, -0.000
			5, -0.001, 2.186, 272.300, 0.014, -0.000
			5, -0.001, 2.135, 272.500, 0.014, -0.000
			5, -0.001, 2.235, 272.700, 0.014, -0.000
			5, -0.001, 2.341, 272.900, 0.015, -0.000
			5, -0.001, 2.356, 273.100, 0.015, -0.000
			5, -0.001, 2.276, 273.300, 0.015, -0.000
			5, -0.001, 2.280, 273.500, 0.015, -0.000
			5, -0.001, 2.426, 273.700, 0.016, -0.000
			5, -0.001, 2.297, 273.900, 0.015, -0.000
			5, -0.001, 2.444, 274.100, 0.016, -0.000
			5, -0.001, 2.375, 274.300, 0.015, -0.000
			5, -0.001, 2.397, 274.500, 0.015, -0.000
			5, -0.000, 2.445, 274.700, 0.016, -0.000
			5, -0.000, 2.413, 274.900, 0.016, -0.000
			5, 0.000, 2.425, 275.100, 0.016, 0.000
			5, 0.001, 2.595, 275.300, 0.017, 0.000
			5, 0.002, 2.521, 275.500, 0.016, 0.000
			5, 0.005, 2.614, 275.700, 0.017, 0.000
			5, 0.008, 2.921, 275.900, 0.019, 0.000
			5, 0.011, 2.964, 276.100, 0.019, 0.001
			5, 0.013, 3.166, 276.300, 0.020, 0.001
			5, 0.015, 3.239, 276.500, 0.021, 0.001
			5, 0.018, 3.442, 276.700, 0.022, 0.001
			5, 0.020, 3.482, 276.900, 0.022, 0.001
			5, 0.023, 3.763, 277.100, 0.024, 0.001
			5, 0.026, 4.203, 277.300, 0.027, 0.001
			5, 0.029, 4.466, 277.500, 0.029, 0.001
			5, 0.031, 4.716, 277.700, 0.030, 0.002
			5, 0.034, 4.957, 277.900, 0.032, 0.002
			5, 0.036, 5.237, 278.100, 0.034, 0.002
			5, 0.039, 5.511, 278.300, 0.035, 0.002
			5, 0.042, 5.884, 278.500, 0.038, 0.002
			5, 0.046, 6.231, 278.700, 0.040, 0.002
			5, 0.048, 6.500, 278.900, 0.042, 0.002
			5, 0.050, 6.765, 279.100, 0.043, 0.002
			5, 0.053, 7.119, 279.300, 0.046, 0.003
			5, 0.055, 7.416, 279.500, 0.048, 0.003
			5, 0.058, 7.796, 279.700, 0.050, 0.003
			5, 0.061, 8.223, 279.900, 0.053, 0.003
			5, 0.064, 8.594, 280.100, 0.055, 0.003
			5, 0.066, 8.937, 280.300, 0.057, 0.003
			5, 0.069, 9.282, 280.500, 0.060, 0.003
			5, 0.071, 9.623, 280.700, 0.062, 0.003
			5, 0.074, 9.968, 280.900, 0.064, 0.004
			5, 0.077, 10.422, 281.100, 0.067, 0.004
			5, 0.080, 10.897, 281.300, 0.070, 0.004
			5, 0.083, 11.269, 281.500, 0.072, 0.004
			5, 0.085, 11.580, 281.700, 0.074, 0.004
			5, 0.087, 11.934, 281.900, 0.077, 0.004
			5, 0.090, 12.321, 282.100, 0.079, 0.004
			5, 0.092, 12.726, 282.300, 0.082, 0.004
			5, 0.096, 13.194, 282.500, 0.085, 0.005
			5, 0.099, 13.710, 282.700, 0.088, 0.005
			5, 0.101, 14.049, 282.900, 0.090, 0.005
			5, 0.103, 14.360, 283.100, 0.092, 0.005
			5, 0.106, 14.809, 283.300, 0.095, 0.005
			5, 0.108, 15.236, 283.500, 0.098, 0.005
			5, 0.111, 15.644, 283.700, 0.101, 0.005
			5, 0.115, 16.186, 283.900, 0.104, 0.005
			5, 0.117, 16.699, 284.100, 0.107, 0.006
			5, 0.120, 17.045, 284.300, 0.110, 0.006
			5, 0.122, 17.474, 284.500, 0.112, 0.006
			5, 0.125, 17.878, 284.700, 0.115, 0.006
			5, 0.127, 18.297, 284.900, 0.118, 0.006
			5, 0.130, 18.805, 285.100, 0.121, 0.006
			5, 0.133, 19.391, 285.300, 0.125, 0.006
			5, 0.136, 19.901, 285.500, 0.128, 0.006
			5, 0.138, 20.303, 285.700, 0.130, 0.007
			5, 0.140, 20.752, 285.900, 0.133, 0.007
			5, 0.143, 21.245, 286.100, 0.137, 0.007
			5, 0.145, 21.685, 286.300, 0.139, 0.007
			5, 0.148, 22.266, 286.500, 0.143, 0.007
			5, 0.152, 22.984, 286.700, 0.148, 0.007
			5, 0.154, 23.408, 286.900, 0.150, 0.007
			5, 0.156, 23.845, 287.100, 0.153, 0.007
			5, 0.159, 24.337, 287.300, 0.156, 0.008
			5, 0.161, 24.824, 287.500, 0.160, 0.008
			5, 0.164, 25.364, 287.700, 0.163, 0.008
			5, 0.167, 26.042, 287.900, 0.167, 0.008
			5, 0.170, 26.681, 288.100, 0.172, 0.008
			5, 0.173, 27.112, 288.300, 0.174, 0.008
			5, 0.175, 27.592, 288.500, 0.177, 0.008
			5, 0.178, 28.141, 288.700, 0.181, 0.008
			5, 0.180, 28.622, 288.900, 0.184, 0.009
			5, 0.183, 29.230, 289.100, 0.188, 0.009
			5, 0.186, 29.911, 289.300, 0.192, 0.009
			5, 0.188, 30.452, 289.500, 0.196, 0.009
			5, 0.191, 30.919, 289.700, 0.199, 0.009
			5, 0.193, 31.403, 289.900, 0.202, 0.009
			5, 0.196, 31.977, 290.100, 0.206, 0.009
			5, 0.198, 32.475, 290.300, 0.209, 0.009
			5, 0.201, 33.172, 290.500, 0.213, 0.010
			5, 0.205, 33.858, 290.700, 0.218, 0.010
			5, 0.207, 34.339, 290.900, 0.221, 0.010
			5, 0.209, 34.857, 291.100, 0.224, 0.010
			5, 0.211, 35.371, 291.300, 0.227, 0.010
			5, 0.214, 35.940, 291.500, 0.231, 0.010
			5, 0.216, 36.471, 291.700, 0.234, 0.010
			5, 0.220, 37.179, 291.900, 0.239, 0.010
			5, 0.223, 37.923, 292.100, 0.244, 0.011
			5, 0.225, 38.358, 292.300, 0.247, 0.011
			5, 0.227, 38.898, 292.500, 0.250, 0.011
			5, 0.230, 39.474, 292.700, 0.254, 0.011
			5, 0.232, 39.992, 292.900, 0.257, 0.011
			5, 0.235, 40.660, 293.100, 0.261, 0.011
			5, 0.238, 41.395, 293.300, 0.266, 0.011
			5, 0.241, 42.039, 293.500, 0.270, 0.012
			5, 0.243, 42.559, 293.700, 0.274, 0.012
			5, 0.246, 43.136, 293.900, 0.277, 0.012
			5, 0.248, 43.632, 294.100, 0.280, 0.012
			5, 0.251, 44.212, 294.300, 0.284, 0.012
			5, 0.254, 44.878, 294.500, 0.288, 0.012
			5, 0.257, 45.674, 294.700, 0.294, 0.012
			5, 0.260, 46.333, 294.900, 0.298, 0.012
			5, 0.262, 46.871, 295.100, 0.301, 0.012
			5, 0.265, 47.421, 295.300, 0.305, 0.013
			5, 0.267, 48.000, 295.500, 0.309, 0.013
			5, 0.270, 48.541, 295.700, 0.312, 0.013
			5, 0.273, 49.355, 295.900, 0.317, 0.013
			5, 0.276, 50.098, 296.100, 0.322, 0.013
			5, 0.278, 50.641, 296.300, 0.326, 0.013
			5, 0.281, 51.169, 296.500, 0.329, 0.013
			5, 0.283, 51.785, 296.700, 0.333, 0.014
			5, 0.286, 52.334, 296.900, 0.336, 0.014
			5, 0.288, 52.937, 297.100, 0.340, 0.014
			5, 0.292, 53.769, 297.300, 0.346, 0.014
			5, 0.295, 54.494, 297.500, 0.350, 0.014
			5, 0.297, 54.971, 297.700, 0.353, 0.014
			5, 0.299, 55.549, 297.900, 0.357, 0.014
			5, 0.301, 56.099, 298.100, 0.361, 0.014
			5, 0.304, 56.698, 298.300, 0.364, 0.014
			5, 0.307, 57.385, 298.500, 0.369, 0.015
			5, 0.310, 58.171, 298.700, 0.374, 0.015
			5, 0.313, 58.793, 298.900, 0.378, 0.015
			5, 0.315, 59.321, 299.100, 0.381, 0.015
			5, 0.318, 59.866, 299.300, 0.385, 0.015
			5, 0.320, 60.486, 299.500, 0.389, 0.015
			5, 0.322, 61.074, 299.700, 0.393, 0.015
			5, 0.325, 61.848, 299.900, 0.398, 0.015
			5, 0.329, 62.659, 300.100, 0.403, 0.016
			5, 0.331, 63.164, 300.300, 0.406, 0.016
			5, 0.333, 63.748, 300.500, 0.410, 0.016
			5, 0.336, 64.293, 300.700, 0.413, 0.016
			5, 0.338, 64.923, 300.900, 0.417, 0.016
			5, 0.341, 65.558, 301.100, 0.421, 0.016
			5, 0.344, 66.388, 301.300, 0.427, 0.016
			5, 0.347, 67.149, 301.500, 0.432, 0.017
			5, 0.350, 67.631, 301.700, 0.435, 0.017
			5, 0.352, 68.191, 301.900, 0.438, 0.017
			5, 0.355, 68.816, 302.100, 0.442, 0.017
			5, 0.357, 69.331, 302.300, 0.446, 0.017
			5, 0.360, 70.060, 302.500, 0.450, 0.017
			5, 0.363, 70.878, 302.700, 0.456, 0.017
			5, 0.366, 71.613, 302.900, 0.460, 0.017
			5, 0.368, 72.129, 303.100, 0.464, 0.018
			5, 0.370, 72.696, 303.300, 0.467, 0.018
			5, 0.373, 73.265, 303.500, 0.471, 0.018
			5, 0.375, 73.829, 303.700, 0.475, 0.018
			5, 0.378, 74.581, 303.900, 0.479, 0.018
			5, 0.382, 75.365, 304.100, 0.484, 0.018
			5, 0.384, 75.953, 304.300, 0.488, 0.018
			5, 0.386, 76.528, 304.500, 0.492, 0.018
			5, 0.389, 77.085, 304.700, 0.495, 0.019
			5, 0.391, 77.696, 304.900, 0.499, 0.019
			5, 0.394, 78.269, 305.100, 0.503, 0.019
			5, 0.397, 79.105, 305.300, 0.508, 0.019
			5, 0.400, 79.869, 305.500, 0.513, 0.019
			5, 0.403, 80.358, 305.700, 0.517, 0.019
			5, 0.405, 80.900, 305.900, 0.520, 0.019
			5, 0.408, 81.472, 306.100, 0.524, 0.019
			5, 0.410, 82.058, 306.300, 0.527, 0.020
			5, 0.411, 82.303, 306.400, 0.529, 0.020
			5, 0.411, 82.303, 306.400, 0.529, 0.020
			5, 0.411, 82.427, 306.430, 0.530, 0.020
			5, 0.412, 82.371, 306.700, 0.529, 0.020
			5, 0.412, 82.201, 306.900, 0.528, 0.020
			5, 0.412, 82.049, 307.100, 0.527, 0.020
			5, 0.412, 81.935, 307.300, 0.527, 0.020
			5, 0.412, 81.818, 307.500, 0.526, 0.020
			5, 0.412, 81.716, 307.700, 0.525, 0.020
			5, 0.412, 81.600, 307.900, 0.525, 0.020
			5, 0.412, 81.526, 308.100, 0.524, 0.020
			5, 0.412, 81.419, 308.300, 0.523, 0.020
			5, 0.412, 81.331, 308.500, 0.523, 0.020
			5, 0.412, 81.259, 308.700, 0.522, 0.020
			5, 0.412, 81.172, 308.900, 0.522, 0.020
			5, 0.411, 81.081, 309.100, 0.521, 0.020
			5, 0.411, 80.934, 309.300, 0.520, 0.020
			5, 0.411, 80.748, 309.500, 0.519, 0.020
			5, 0.410, 80.432, 309.700, 0.517, 0.020
			5, 0.407, 79.534, 309.900, 0.511, 0.019
			5, 0.405, 78.726, 310.100, 0.506, 0.019
			5, 0.401, 77.817, 310.300, 0.500, 0.019
			5, 0.399, 77.034, 310.500, 0.495, 0.019
			5, 0.396, 76.190, 310.700, 0.490, 0.019
			5, 0.394, 75.297, 310.900, 0.484, 0.019
			5, 0.391, 74.335, 311.100, 0.478, 0.019
			5, 0.388, 73.540, 311.300, 0.473, 0.019
			5, 0.386, 72.784, 311.500, 0.468, 0.018
			5, 0.383, 71.977, 311.700, 0.463, 0.018
			5, 0.380, 71.201, 311.900, 0.458, 0.018
			5, 0.378, 70.379, 312.100, 0.452, 0.018
			5, 0.375, 69.505, 312.300, 0.447, 0.018
			5, 0.372, 68.628, 312.500, 0.441, 0.018
			5, 0.370, 67.970, 312.700, 0.437, 0.018
			5, 0.367, 67.208, 312.900, 0.432, 0.017
			5, 0.364, 66.366, 313.100, 0.427, 0.017
			5, 0.362, 65.684, 313.300, 0.422, 0.017
			5, 0.359, 65.017, 313.500, 0.418, 0.017
			5, 0.356, 64.077, 313.700, 0.412, 0.017
			5, 0.353, 63.279, 313.900, 0.407, 0.017
			5, 0.351, 62.652, 314.100, 0.403, 0.017
			5, 0.348, 61.843, 314.300, 0.398, 0.017
			5, 0.346, 61.173, 314.500, 0.393, 0.016
			5, 0.343, 60.427, 314.700, 0.388, 0.016
			5, 0.341, 59.725, 314.900, 0.384, 0.016
			5, 0.338, 58.855, 315.100, 0.378, 0.016
			5, 0.335, 58.159, 315.300, 0.374, 0.016
			5, 0.333, 57.490, 315.500, 0.370, 0.016
			5, 0.330, 56.770, 315.700, 0.365, 0.016
			5, 0.328, 56.094, 315.900, 0.361, 0.016
			5, 0.325, 55.399, 316.100, 0.356, 0.015
			5, 0.322, 54.624, 316.300, 0.351, 0.015
			5, 0.319, 53.816, 316.500, 0.346, 0.015
			5, 0.316, 53.241, 316.700, 0.342, 0.015
			5, 0.314, 52.532, 316.900, 0.338, 0.015
			5, 0.311, 51.839, 317.100, 0.333, 0.015
			5, 0.309, 51.234, 317.300, 0.329, 0.015
			5, 0.306, 50.530, 317.500, 0.325, 0.015
			5, 0.303, 49.706, 317.700, 0.319, 0.014
			5, 0.301, 49.011, 317.900, 0.315, 0.014
			5, 0.298, 48.391, 318.100, 0.311, 0.014
			5, 0.296, 47.727, 318.300, 0.307, 0.014
			5, 0.293, 47.103, 318.500, 0.303, 0.014
			5, 0.291, 46.477, 318.700, 0.299, 0.014
			5, 0.288, 45.803, 318.900, 0.294, 0.014
			5, 0.285, 44.996, 319.100, 0.289, 0.014
			5, 0.283, 44.339, 319.300, 0.285, 0.013
			5, 0.280, 43.741, 319.500, 0.281, 0.013
			5, 0.278, 43.094, 319.700, 0.277, 0.013
			5, 0.275, 42.449, 319.900, 0.273, 0.013
			5, 0.272, 41.833, 320.100, 0.269, 0.013
			5, 0.270, 41.147, 320.300, 0.264, 0.013
			5, 0.266, 40.371, 320.500, 0.259, 0.013
			5, 0.264, 39.779, 320.700, 0.256, 0.013
			5, 0.261, 39.181, 320.900, 0.252, 0.012
			5, 0.259, 38.546, 321.100, 0.248, 0.012
			5, 0.256, 38.004, 321.300, 0.244, 0.012
			5, 0.254, 37.400, 321.500, 0.240, 0.012
			5, 0.251, 36.681, 321.700, 0.236, 0.012
			5, 0.248, 36.002, 321.900, 0.231, 0.012
			5, 0.246, 35.473, 322.100, 0.228, 0.012
			5, 0.243, 34.834, 322.300, 0.224, 0.012
			5, 0.240, 34.288, 322.500, 0.220, 0.011
			5, 0.238, 33.761, 322.700, 0.217, 0.011
			5, 0.235, 33.193, 322.900, 0.213, 0.011
			5, 0.233, 32.488, 323.100, 0.209, 0.011
			5, 0.230, 31.892, 323.300, 0.205, 0.011
			5, 0.227, 31.354, 323.500, 0.202, 0.011
			5, 0.225, 30.752, 323.700, 0.198, 0.011
			5, 0.222, 30.202, 323.900, 0.194, 0.011
			5, 0.220, 29.659, 324.100, 0.191, 0.010
			5, 0.217, 29.061, 324.300, 0.187, 0.010
			5, 0.214, 28.415, 324.500, 0.183, 0.010
			5, 0.211, 27.879, 324.700, 0.179, 0.010
			5, 0.209, 27.406, 324.900, 0.176, 0.010
			5, 0.206, 26.873, 325.100, 0.173, 0.010
			5, 0.204, 26.313, 325.300, 0.169, 0.010
			5, 0.201, 25.769, 325.500, 0.166, 0.010
			5, 0.198, 25.213, 325.700, 0.162, 0.009
			5, 0.196, 24.638, 325.900, 0.158, 0.009
			5, 0.193, 24.171, 326.100, 0.155, 0.009
			5, 0.191, 23.670, 326.300, 0.152, 0.009
			5, 0.188, 23.144, 326.500, 0.149, 0.009
			5, 0.186, 22.694, 326.700, 0.146, 0.009
			5, 0.183, 22.169, 326.900, 0.142, 0.009
			5, 0.180, 21.541, 327.100, 0.138, 0.009
			5, 0.177, 21.056, 327.300, 0.135, 0.008
			5, 0.175, 20.621, 327.500, 0.133, 0.008
			5, 0.172, 20.138, 327.700, 0.129, 0.008
			5, 0.170, 19.646, 327.900, 0.126, 0.008
			5, 0.167, 19.196, 328.100, 0.123, 0.008
			5, 0.164, 18.662, 328.300, 0.120, 0.008
			5, 0.161, 18.096, 328.500, 0.116, 0.008
			5, 0.159, 17.686, 328.700, 0.114, 0.008
			5, 0.156, 17.269, 328.900, 0.111, 0.007
			5, 0.154, 16.825, 329.100, 0.108, 0.007
			5, 0.151, 16.408, 329.300, 0.105, 0.007
			5, 0.149, 15.954, 329.500, 0.103, 0.007
			5, 0.146, 15.525, 329.700, 0.100, 0.007
			5, 0.143, 15.057, 329.900, 0.097, 0.007
			5, 0.141, 14.691, 330.100, 0.094, 0.007
			5, 0.138, 14.273, 330.300, 0.092, 0.007
			5, 0.135, 13.875, 330.500, 0.089, 0.006
			5, 0.133, 13.527, 330.700, 0.087, 0.006
			5, 0.131, 13.150, 330.900, 0.085, 0.006
			5, 0.128, 12.734, 331.100, 0.082, 0.006
			5, 0.125, 12.310, 331.300, 0.079, 0.006
			5, 0.123, 12.008, 331.500, 0.077, 0.006
			5, 0.120, 11.646, 331.700, 0.075, 0.006
			5, 0.117, 11.325, 331.900, 0.073, 0.006
			5, 0.115, 10.995, 332.100, 0.071, 0.005
			5, 0.112, 10.704, 332.300, 0.069, 0.005
			5, 0.109, 10.231, 332.500, 0.066, 0.005
			5, 0.106, 9.928, 332.700, 0.064, 0.005
			5, 0.104, 9.656, 332.900, 0.062, 0.005
			5, 0.101, 9.331, 333.100, 0.060, 0.005
			5, 0.099, 9.003, 333.300, 0.058, 0.005
			5, 0.096, 8.721, 333.500, 0.056, 0.005
			5, 0.093, 8.390, 333.700, 0.054, 0.004
			5, 0.090, 8.036, 333.900, 0.052, 0.004
			5, 0.088, 7.756, 334.100, 0.050, 0.004
			5, 0.085, 7.459, 334.300, 0.048, 0.004
			5, 0.083, 7.133, 334.500, 0.046, 0.004
			5, 0.080, 6.950, 334.700, 0.045, 0.004
			5, 0.078, 6.618, 334.900, 0.043, 0.004
			5, 0.075, 6.372, 335.100, 0.041, 0.004
			5, 0.072, 6.101, 335.300, 0.039, 0.003
			5, 0.070, 5.834, 335.500, 0.038, 0.003
			5, 0.066, 5.534, 335.700, 0.036, 0.003
			5, 0.064, 5.413, 335.900, 0.035, 0.003
			5, 0.061, 5.180, 336.100, 0.033, 0.003
			5, 0.059, 4.836, 336.300, 0.031, 0.003
			5, 0.056, 4.567, 336.500, 0.029, 0.003
			5, 0.053, 4.385, 336.700, 0.028, 0.003
			5, 0.051, 4.150, 336.900, 0.027, 0.002
			5, 0.048, 4.020, 337.100, 0.026, 0.002
			5, 0.046, 3.833, 337.300, 0.025, 0.002
			5, 0.043, 3.699, 337.500, 0.024, 0.002
			5, 0.040, 3.555, 337.700, 0.023, 0.002
			5, 0.037, 3.313, 337.900, 0.021, 0.002
			5, 0.035, 3.166, 338.100, 0.020, 0.002
			5, 0.032, 2.991, 338.300, 0.019, 0.002
			5, 0.030, 2.986, 338.500, 0.019, 0.001
			5, 0.027, 2.817, 338.700, 0.018, 0.001
			5, 0.025, 2.851, 338.900, 0.018, 0.001
			5, 0.022, 2.732, 339.100, 0.018, 0.001
			5, 0.019, 2.565, 339.300, 0.016, 0.001
			5, 0.016, 2.331, 339.500, 0.015, 0.001
			5, 0.014, 2.447, 339.700, 0.016, 0.001
			5, 0.011, 2.285, 339.900, 0.015, 0.001
			5, 0.009, 2.123, 340.100, 0.014, 0.000
			5, 0.006, 2.049, 340.300, 0.013, 0.000
			5, 0.003, 2.092, 340.500, 0.013, 0.000
			5, 0.000, 2.141, 340.700, 0.014, 0.000
			5, -0.000, 2.033, 340.750, 0.013, -0.000
			5, -0.000, 2.244, 340.770, 0.014, -0.000
		EndData
	EndSpecimen
	BeginSpecimen
		Endpoint1, 0.249,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.5,  "mm/min"
		Thickness, 12.23,  "mm"
		Width, 11.91,  "mm"
		AdjGage, 12.745,  "mm"
		Area, 145.6593,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.318,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 79.217,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.318,  "mm"
		SlackVal, 0.318,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			CycleChannel, SlackExt, _Load, _Time, Stress, Strain
			"", "mm", "N", "s", "MPa", "mm/mm"
			1, 0.006, 11.594, 0.140, 0.080, 0.000
			1, 0.007, 11.377, 0.400, 0.078, 0.001
			1, 0.007, 11.438, 0.600, 0.079, 0.001
			1, 0.009, 11.656, 0.800, 0.080, 0.001
